name,category,image
"MANIJAS EXTINTORES MAS DE 2,5 K",Accesorios para Extintores,
MANO DE OBRA,Otros,
MANOMETRO,Accesorios para Extintores,
MANOMETRO,Accesorios para Extintores,
MANTA APAGA LLAMAS,Red contra Incendios,
MANTA MORTUORIA,Red contra Incendios,
MANTENIMIENTO BC POR 10 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR  BC POR 5 KS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR ABC 1 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR ABC 10 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR ABC 100 KG,Mantenimiento y Recargas,
"MANTENIMIENTO EXTINTOR ABC 2,5 KG",Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR ABC 25 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR ABC 5 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR ABC 50 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR ABC 70 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AFFF  10 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AFFF  25 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AFFF  50  LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AFFF  70  LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AFFF 100 LTS,Mantenimiento y Recargas,
"MANTENIMIENTO EXTINTOR AFFF 2,5LTS",Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AFFF 5 LTS,Mantenimiento y Recargas,
"MANTENIMIENTO EXTINTOR AFFF DE 2,5 LTS",Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AGUA  10 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AGUA  10 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AGUA  25 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AGUA  50 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AGUA 10 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR AGUA DE 100 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR BC 10 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR BC 2 KG,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR BC 20KG,Mantenimiento y Recargas,
"MANTENIMIENTO EXTINTOR BC 3,5 KG",Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR BC 5 KS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR BC 7 KS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR CLASE D DE 10 KS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR D 5 KS,Mantenimiento y Recargas,
"MANTENIMIENTO EXTINTOR HCFC   2,5  LTS",Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR HCFC   5  LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR HCFC 10 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR K   X 6 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR K   X 6 LTS,Mantenimiento y Recargas,
MANTENIMIENTO EXTINTOR MANUAL BC POR 5KG,Mantenimiento y Recargas,
MANTENIMIENTO HCFC POR 1 LTS,Mantenimiento y Recargas,
MANTENIMIENTO MANGA INCENDIO,Mantenimiento y Recargas,
MARBETES DE 10KG,Accesorios para Extintores,
MARBETES DE 1KG,Accesorios para Extintores,
MARBETES DE 5KG,Accesorios para Extintores,
MARTILLO CON TRINCHETA PARA OMNIBUS,Otros,
NICHO HIDRANTE,Red contra Incendios,
OBLEAS,Accesorios para Extintores,
ORRIGN BOLSA,Accesorios para Extintores,
ORRING,Accesorios para Extintores,
PEDESTAL MATAFUEGO,Accesorios para Extintores,
PINTURA ABC POR 1 KG,Mantenimiento y Recargas,
PINTURA ABC POR 5 KG,Mantenimiento y Recargas,
PINTURA BC POR 10 KG,Mantenimiento y Recargas,
"PINTURA BC POR 3,5 KG",Mantenimiento y Recargas,
POLVO QUIMICO CLASE D POR 1/2 K,Mantenimiento y Recargas,
POLVO QUIMICO CLASE D POR 1K,Mantenimiento y Recargas,
POLVO QUIMICO SECO 1/2 K,Mantenimiento y Recargas,
POLVO QUIMICO SECO POR KILO,Mantenimiento y Recargas,
"PRECINTO A PARTIR 2,5 KS",Accesorios para Extintores,
PRECINTO CON LOGO,Accesorios para Extintores,
PRECINTOS AZULES,Accesorios para Extintores,
PRECINTOS NEGROS,Accesorios para Extintores,
PROTECTOR AUDITIVO TIPO TAPON,Elementos de ProtecciÃ³n Personal (EPP),
PROTECTOR LUMBAR,Elementos de ProtecciÃ³n Personal (EPP),
PRUEBA HIDRAULICA,Mantenimiento y Recargas,
RECAMBIO ABC POR 1 K,Mantenimiento y Recargas,
RECAMBIOS,Mantenimiento y Recargas,
REDUCCIONES 2 1/2 A 1 3/4 BRONCE,Red contra Incendios,
REPELENTE MOSQUITOS INFLUENCIA,Elementos de ProtecciÃ³n Personal (EPP),
REPELENTES,Elementos de ProtecciÃ³n Personal (EPP),
ROBINETE,Red contra Incendios,
ROLLO DE VIRULANA BOLSA X 10,Otros,
SEGUROS EXTINTORES,Accesorios para Extintores,
SELLOS IRAM,Accesorios para Extintores,
SEPARADORES DE FILA,Vial y TrÃ¡nsito,
SOPORTE ABC POR  5 KS,Accesorios para Extintores,
SOPORTE ABC POR 10 KS,Accesorios para Extintores,
SOPORTE ABROJO 1KG,Accesorios para Extintores,
SOPORTE DE ABC 2.5K 5K,Accesorios para Extintores,
"SOPORTE EXTINTOR ABC POR 2,5 KS",Accesorios para Extintores,
SOPORTE METALICO BALON,Accesorios para Extintores,
SOPORTE METALICO LARGO,Accesorios para Extintores,
SOPORTE METALICO PARA MATAFUEGO DE 1 K,Accesorios para Extintores,
SUJECION DE CARGA CINTA 50MM 10MT,Izaje y Remolque,
SUJECION DE CARGA CINTA 50MM 36MT,Izaje y Remolque,
SUJETA MANGUERAS,Otros,
SUNCHOS PARA EXTINTOR,Accesorios para Extintores,
TANQUE PLASTICO IBC PARA 1000 LTS (1Â° USO),Otros,
TOBERAS,Accesorios para Extintores,
TOBERAS GRANDE,Accesorios para Extintores,
VALVULA  DE 1/2,Red contra Incendios,
VASTAGO PARA EXTINTOR,Accesorios para Extintores,
